pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
       0.00670986, 0.00702434, 0.0068994 , 0.00723639, 0.00711579,
       0.00736079, 0.00742292, 0.00744367, 0.00711966, 0.0072042 ,
       0.00691099, 0.00696836, 0.00708437, 0.00681825, 0.00692196,
       0.00711923, 0.01152854, 0.00752959, 0.00716357, 0.00711637,
       0.00724521, 0.00695562, 0.00702567, 0.00703578, 0.00683064,
       0.00700917, 0.00709901, 0.00784874, 0.00742278, 0.00745006,
       0.0071384 , 0.00734429, 0.00710697, 0.00639348, 0.00735078,
       0.0068264 , 0.00707912, 0.0103241 , 0.007267  , 0.00740423,
       0.00723572, 0.00721798, 0.00736313, 0.00680485, 0.00635409,
       0.00725403, 0.00680418, 0.00719395, 0.00699544, 0.00730186,
       0.00731988, 0.00726109, 0.00741582, 0.00730004, 0.00721421,
       0.00654464, 0.0069922 , 0.00679445, 0.00700111, 0.00721498,
       0.00745392, 0.00729356, 0.00732322, 0.00739603, 0.00735478,
       0.00723147, 0.0065639 , 0.00697937, 0.00685019, 0.00717845,
       0.00691772, 0.00729337, 0.00753989, 0.00724492, 0.00741153,
       0.00712047, 0.00700707, 0.00662379, 0.00695562, 0.00682492,
       0.00720501, 0.00926352, 0.00731592, 0.00760512, 0.00732274,
       0.00742416, 0.00769534, 0.00697689, 0.00658336, 0.00707603,
       0.00706139, 0.00968237, 0.00708203, 0.00824022, 0.00747309,
       0.00728221, 0.00734358, 0.00734439, 0.00673695, 0.00645633,
       0.00676494, 0.00702753, 0.007201  , 0.00740013, 0.00739799,
       0.00749197, 0.00741401, 0.0081037 , 0.00779934, 0.00671134,
       0.00532928, 0.00618711]), 'std_score_time': array([1.50425916e-03, 3.61240967e-04, 2.79487011e-04, 3.31888747e-04,
       3.04152382e-04, 5.57763593e-04, 2.84390150e-04, 2.78897990e-04,
       3.50591212e-04, 3.50945281e-04, 2.91453294e-04, 2.07593761e-04,
       2.98867746e-04, 2.10129535e-04, 2.94423257e-04, 1.05995291e-04,
       2.09575958e-04, 1.73720186e-04, 1.82862331e-04, 3.66383254e-04,
       3.27759493e-04, 2.78598148e-04, 1.85326882e-04, 3.41202627e-04,
       1.70899302e-04, 2.35487159e-04, 3.19451836e-04, 4.04751575e-03,
       1.93106686e-04, 9.21477328e-04, 5.70313759e-04, 2.49330823e-04,
       1.21877600e-04, 1.72997191e-04, 2.78755797e-04, 1.74843683e-04,
       4.13105373e-04, 3.41788067e-04, 3.35059075e-04, 8.26237601e-04,
       4.07289040e-04, 4.39724484e-03, 1.76162259e-04, 1.66173638e-04,
       1.81468486e-04, 1.65920791e-04, 1.91076307e-04, 3.09090708e-04,
       1.79608006e-04, 2.82435306e-04, 1.19771338e-04, 3.85726337e-04,
       4.14094470e-04, 7.67629448e-04, 1.25680888e-04, 1.78979314e-04,
       2.62718165e-04, 1.77223444e-04, 2.80463967e-04, 2.11799418e-04,
       3.27663864e-04, 1.69345036e-04, 4.81384118e-04, 3.72078971e-04,
       4.01693481e-04, 1.24708971e-04, 8.97611947e-03, 2.27632760e-04,
       2.31863636e-04, 1.14587194e-04, 2.56502032e-04, 3.34985058e-04,
       3.76166480e-03, 3.46109518e-04, 3.47491473e-04, 7.08231169e-04,
       8.66215877e-05, 2.96657431e-04, 3.18605255e-04, 1.15504941e-04,
       1.36144232e-04, 2.20441328e-04, 4.13906151e-04, 7.78890692e-05,
       3.69629217e-04, 9.35306533e-04, 3.44339144e-04, 1.02320921e-04,
       8.29327962e-04, 3.26343757e-03, 1.47147141e-04, 2.12022070e-04,
       1.99352973e-04, 3.69327602e-04, 1.23604672e-04, 7.35514084e-04,
       5.39018263e-04, 3.54642071e-04, 7.48582097e-05, 9.25012268e-04,
       1.88304413e-04, 1.40380519e-04, 3.60819089e-04, 2.42748632e-04,
       3.54970616e-04, 1.06155283e-04, 3.56460816e-04, 6.61067328e-04,
       5.26500853e-04, 1.65679087e-03, 4.05541226e-04, 2.26593971e-04,
       1.46282340e-04, 2.90915009e-04, 2.60180313e-04, 3.61647441e-04,
       2.54535943e-04, 2.01075813e-04, 5.11543663e-04, 4.03907065e-04,
       3.22109222e-04, 2.49445791e-04, 2.96180391e-04, 1.01199023e-04,
       2.72841747e-04, 2.46411183e-04, 3.46951251e-04, 2.54689256e-04,
       2.08579442e-04, 4.75433085e-04, 4.27674750e-04, 1.35016119e-04,
       6.06704455e-04, 6.47655960e-04, 1.60871770e-04, 1.82283788e-04,
       6.94846806e-05, 3.80472340e-04, 3.95419208e-04, 1.93557395e-04,
       4.44639091e-04, 3.93519224e-04, 1.21413172e-04, 3.87102896e-04,
       2.82838942e-04, 1.40894883e-04, 7.74065421e-03, 2.02145585e-04,
       2.36916454e-04, 3.29230813e-04, 2.12347135e-04, 5.27055469e-04,
       3.91221145e-04, 1.16029914e-04, 3.92394840e-04, 2.70052194e-04,
       1.34896937e-04, 1.18311986e-03, 3.07879821e-04, 3.26112534e-04,
       1.58670357e-04, 1.65151323e-04, 9.48754332e-04, 8.69846130e-05,
       3.49137894e-04, 4.07637151e-04, 3.53893749e-04, 6.39880000e-03,
       2.06426215e-04, 2.83136919e-04, 5.28488326e-05, 1.71087657e-04,
       1.23723522e-04, 3.49738313e-04, 4.08805486e-05, 2.51908950e-04,
       4.69472866e-04, 4.91352467e-04, 2.02432004e-04, 2.88699970e-04,
       2.59281993e-04, 2.42467799e-04, 1.97884284e-04, 2.53879209e-04,
       4.71690720e-04, 1.68557275e-04, 1.53441396e-04, 4.57158608e-04,
       2.52711386e-04, 1.83781627e-04, 3.38638154e-04, 2.89232873e-04,
       1.85302098e-04, 1.50628051e-04, 2.42444119e-04, 4.95416253e-04,
       1.69826543e-04, 2.84367731e-04, 3.78334886e-04, 2.70524584e-04,
       2.57725301e-04, 9.24697292e-05, 1.38197791e-04, 1.03698828e-04,
       1.76561113e-04, 1.98316201e-04, 4.62070249e-04, 2.16966849e-04,
       1.72625523e-04, 4.49687789e-04, 1.64353186e-04, 4.89499691e-03,
       1.10238563e-04, 1.12254739e-04, 1.10848528e-04, 2.12870084e-04,
       9.08843425e-04, 4.48738030e-04, 2.60777730e-04, 1.77271036e-04,
       3.26141126e-04, 4.89660299e-03, 1.69630783e-04, 1.18478494e-03,
       1.43163446e-04, 6.16846323e-05, 1.67150938e-04, 3.31487151e-04,
       3.22875887e-04, 5.26259316e-05, 2.04896122e-04, 3.26198462e-04,
       1.75927090e-04, 5.15087493e-04, 1.03347961e-04, 1.45590231e-04,
       1.34900308e-04, 7.40085228e-04, 1.12775817e-03, 3.26630794e-04,
       1.28862505e-03, 1.15747707e-03]), 'param_C': masked_array(data=[0.015625, 0.015625, 0.015625, 0.015625, 0.015625,
                   0.015625, 0.015625, 0.015625, 0.015625, 0.015625,
                   0.015625, 0.015625, 0.015625, 0.015625, 0.015625,
                   0.015625, 0.015625, 0.015625, 0.015625, 0.015625,
                   0.015625, 0.015625, 0.03125, 0.03125, 0.03125, 0.03125,
                   0.03125, 0.03125, 0.03125, 0.03125, 0.03125, 0.03125,
                   0.03125, 0.03125, 0.03125, 0.03125, 0.03125, 0.03125,
                   0.03125, 0.03125, 0.03125, 0.03125, 0.03125, 0.03125,
                   0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625,
                   0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625,
                   0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625,
                   0.0625, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125,
                   0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125,
                   0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125,
                   0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25,
                   0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25,
                   0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5,
                   0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5,
                   0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,
                   1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,
                   1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0,
                   2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0,
                   2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0,
                   4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0,
                   4.0, 4.0, 4.0, 4.0, 4.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0,
                   8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0,
                   8.0, 8.0, 8.0, 8.0, 8.0, 16.0, 16.0, 16.0, 16.0, 16.0,
                   16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0,
                   16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False],
       fill_value='?',
            dtype=object), 'param_decision_function_shape': masked_array(data=['ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovo', 'ovo', 'ovo', 'ovo',
                   'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovo', 'ovr',
                   'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr', 'ovr',
                   'ovr', 'ovr'],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False],
       fill_value='?',
            dtype=object), 'param_gamma': masked_array(data=[0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0, 0.015625, 0.03125, 0.0625, 0.125, 0.25,
                   0.5, 1.0, 2.0, 4.0, 8.0, 16.0, 0.015625, 0.03125,
                   0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0, 8.0, 16.0,
                   0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0, 0.015625, 0.03125, 0.0625, 0.125, 0.25,
                   0.5, 1.0, 2.0, 4.0, 8.0, 16.0, 0.015625, 0.03125,
                   0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0, 8.0, 16.0,
                   0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0, 0.015625, 0.03125, 0.0625, 0.125, 0.25,
                   0.5, 1.0, 2.0, 4.0, 8.0, 16.0, 0.015625, 0.03125,
                   0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0, 8.0, 16.0,
                   0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0, 0.015625, 0.03125, 0.0625, 0.125, 0.25,
                   0.5, 1.0, 2.0, 4.0, 8.0, 16.0, 0.015625, 0.03125,
                   0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0, 8.0, 16.0,
                   0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0, 0.015625, 0.03125, 0.0625, 0.125, 0.25,
                   0.5, 1.0, 2.0, 4.0, 8.0, 16.0, 0.015625, 0.03125,
                   0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0, 8.0, 16.0,
                   0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0, 0.015625, 0.03125, 0.0625, 0.125, 0.25,
                   0.5, 1.0, 2.0, 4.0, 8.0, 16.0, 0.015625, 0.03125,
                   0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0, 8.0, 16.0,
                   0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0, 0.015625, 0.03125, 0.0625, 0.125, 0.25,
                   0.5, 1.0, 2.0, 4.0, 8.0, 16.0, 0.015625, 0.03125,
                   0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0, 8.0, 16.0,
                   0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5, 1.0, 2.0,
                   4.0, 8.0, 16.0],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
